"Region.Label","Area","Sample.Label","Effort","object","distance","observer","detected","sex","exposure","size","Study.Area"
"Default",1680,"Default",210,1,2.68,1,1,1,1,2,"GolfteesExercise"
"Default",1680,"Default",210,1,2.68,2,0,1,1,2,"GolfteesExercise"
"Default",1680,"Default",210,2,3.33,1,1,1,0,2,"GolfteesExercise"
"Default",1680,"Default",210,2,3.33,2,0,1,0,2,"GolfteesExercise"
"Default",1680,"Default",210,3,0.34,1,1,0,0,1,"GolfteesExercise"
"Default",1680,"Default",210,3,0.34,2,0,0,0,1,"GolfteesExercise"
"Default",1680,"Default",210,4,2.53,1,1,1,1,2,"GolfteesExercise"
"Default",1680,"Default",210,4,2.53,2,0,1,1,2,"GolfteesExercise"
"Default",1680,"Default",210,5,1.46,1,1,1,0,2,"GolfteesExercise"
"Default",1680,"Default",210,5,1.46,2,0,1,0,2,"GolfteesExercise"
"Default",1680,"Default",210,6,3.8,1,1,1,0,7,"GolfteesExercise"
"Default",1680,"Default",210,6,3.8,2,0,1,0,7,"GolfteesExercise"
"Default",1680,"Default",210,7,3.17,1,1,1,0,2,"GolfteesExercise"
"Default",1680,"Default",210,7,3.17,2,0,1,0,2,"GolfteesExercise"
"Default",1680,"Default",210,8,0.36,1,1,1,0,1,"GolfteesExercise"
"Default",1680,"Default",210,8,0.36,2,0,1,0,1,"GolfteesExercise"
"Default",1680,"Default",210,9,2.41,1,1,1,0,4,"GolfteesExercise"
"Default",1680,"Default",210,9,2.41,2,0,1,0,4,"GolfteesExercise"
"Default",1680,"Default",210,10,3.01,1,1,1,0,5,"GolfteesExercise"
"Default",1680,"Default",210,10,3.01,2,0,1,0,5,"GolfteesExercise"
"Default",1680,"Default",210,11,3.57,1,1,1,1,1,"GolfteesExercise"
"Default",1680,"Default",210,11,3.57,2,0,1,1,1,"GolfteesExercise"
"Default",1680,"Default",210,12,3.05,1,1,1,0,4,"GolfteesExercise"
"Default",1680,"Default",210,12,3.05,2,0,1,0,4,"GolfteesExercise"
"Default",1680,"Default",210,13,0.79,1,1,0,0,2,"GolfteesExercise"
"Default",1680,"Default",210,13,0.79,2,0,0,0,2,"GolfteesExercise"
"Default",1680,"Default",210,14,3.11,1,1,1,0,1,"GolfteesExercise"
"Default",1680,"Default",210,14,3.11,2,0,1,0,1,"GolfteesExercise"
"Default",1680,"Default",210,15,1.8,1,1,0,1,3,"GolfteesExercise"
"Default",1680,"Default",210,15,1.8,2,0,0,1,3,"GolfteesExercise"
"Default",1680,"Default",210,16,1.51,1,1,1,1,2,"GolfteesExercise"
"Default",1680,"Default",210,16,1.51,2,0,1,1,2,"GolfteesExercise"
"Default",1680,"Default",210,17,2.11,1,1,1,1,1,"GolfteesExercise"
"Default",1680,"Default",210,17,2.11,2,0,1,1,1,"GolfteesExercise"
"Default",1680,"Default",210,18,2.1,1,1,1,0,1,"GolfteesExercise"
"Default",1680,"Default",210,18,2.1,2,0,1,0,1,"GolfteesExercise"
