"SMP_LABEL"	"SMP_EFFORT"	"DISTANCE"	"STR_LABEL"	"STR_AREA"	"DISTANCE.1"	"SEX"
"Default"	210	2.68	"Default"	1680	2.68	1
"Default"	210	3.33	"Default"	1680	3.33	1
"Default"	210	0.34	"Default"	1680	0.34	0
"Default"	210	2.53	"Default"	1680	2.53	1
"Default"	210	1.46	"Default"	1680	1.46	1
"Default"	210	3.8	"Default"	1680	3.8	1
"Default"	210	3.17	"Default"	1680	3.17	1
"Default"	210	0.36	"Default"	1680	0.36	1
"Default"	210	2.41	"Default"	1680	2.41	1
"Default"	210	3.01	"Default"	1680	3.01	1
"Default"	210	3.57	"Default"	1680	3.57	1
"Default"	210	3.05	"Default"	1680	3.05	1
"Default"	210	0.79	"Default"	1680	0.79	0
"Default"	210	3.11	"Default"	1680	3.11	1
"Default"	210	1.8	"Default"	1680	1.8	0
"Default"	210	1.51	"Default"	1680	1.51	1
"Default"	210	2.11	"Default"	1680	2.11	1
"Default"	210	2.1	"Default"	1680	2.1	1
"Default"	210	0.02	"Default"	1680	0.02	1
"Default"	210	0.11	"Default"	1680	0.11	0
"Default"	210	1.92	"Default"	1680	1.92	1
"Default"	210	1.3	"Default"	1680	1.3	0
"Default"	210	0.73	"Default"	1680	0.73	1
"Default"	210	2.43	"Default"	1680	2.43	1
"Default"	210	0.83	"Default"	1680	0.83	0
"Default"	210	3.83	"Default"	1680	3.83	1
"Default"	210	3.46	"Default"	1680	3.46	1
"Default"	210	3.76	"Default"	1680	3.76	1
"Default"	210	2.98	"Default"	1680	2.98	0
"Default"	210	3.72	"Default"	1680	3.72	1
"Default"	210	1.78	"Default"	1680	1.78	0
"Default"	210	1.83	"Default"	1680	1.83	0
"Default"	210	2.43	"Default"	1680	2.43	1
"Default"	210	3.14	"Default"	1680	3.14	1
"Default"	210	2.3	"Default"	1680	2.3	0
"Default"	210	3.67	"Default"	1680	3.67	1
"Default"	210	2.65	"Default"	1680	2.65	1
"Default"	210	3.84	"Default"	1680	3.84	1
"Default"	210	1.19	"Default"	1680	1.19	1
"Default"	210	1.56	"Default"	1680	1.56	1
"Default"	210	3.15	"Default"	1680	3.15	0
"Default"	210	0.36	"Default"	1680	0.36	0
"Default"	210	2.91	"Default"	1680	2.91	1
"Default"	210	2.41	"Default"	1680	2.41	0
"Default"	210	3.24	"Default"	1680	3.24	0
"Default"	210	2.78	"Default"	1680	2.78	0
"Default"	210	2.85	"Default"	1680	2.85	1
"Default"	210	2.22	"Default"	1680	2.22	0
"Default"	210	0.47	"Default"	1680	0.47	0
"Default"	210	1.79	"Default"	1680	1.79	0
"Default"	210	1.38	"Default"	1680	1.38	0
"Default"	210	1.39	"Default"	1680	1.39	0
"Default"	210	3.65	"Default"	1680	3.65	0
"Default"	210	1.49	"Default"	1680	1.49	0
"Default"	210	1.71	"Default"	1680	1.71	1
"Default"	210	2.41	"Default"	1680	2.41	1
"Default"	210	1.29	"Default"	1680	1.29	0
"Default"	210	2.95	"Default"	1680	2.95	1
"Default"	210	2.19	"Default"	1680	2.19	1
"Default"	210	2.19	"Default"	1680	2.19	1
"Default"	210	1.27	"Default"	1680	1.27	1
"Default"	210	1.27	"Default"	1680	1.27	1
"Default"	210	0.45	"Default"	1680	0.45	1
"Default"	210	0.45	"Default"	1680	0.45	1
"Default"	210	0.66	"Default"	1680	0.66	1
"Default"	210	0.66	"Default"	1680	0.66	1
"Default"	210	2.74	"Default"	1680	2.74	1
"Default"	210	2.74	"Default"	1680	2.74	1
"Default"	210	2.09	"Default"	1680	2.09	0
"Default"	210	2.09	"Default"	1680	2.09	0
"Default"	210	1.38	"Default"	1680	1.38	1
"Default"	210	1.38	"Default"	1680	1.38	1
"Default"	210	1.91	"Default"	1680	1.91	1
"Default"	210	1.91	"Default"	1680	1.91	1
"Default"	210	0.23	"Default"	1680	0.23	1
"Default"	210	0.23	"Default"	1680	0.23	1
"Default"	210	1.21	"Default"	1680	1.21	1
"Default"	210	1.21	"Default"	1680	1.21	1
"Default"	210	3.01	"Default"	1680	3.01	0
"Default"	210	3.01	"Default"	1680	3.01	0
"Default"	210	1.44	"Default"	1680	1.44	1
"Default"	210	1.44	"Default"	1680	1.44	1
"Default"	210	2.46	"Default"	1680	2.46	1
"Default"	210	2.46	"Default"	1680	2.46	1
"Default"	210	0.11	"Default"	1680	0.11	0
"Default"	210	0.11	"Default"	1680	0.11	0
"Default"	210	2.88	"Default"	1680	2.88	1
"Default"	210	2.88	"Default"	1680	2.88	1
"Default"	210	0.28	"Default"	1680	0.28	1
"Default"	210	0.28	"Default"	1680	0.28	1
"Default"	210	1.37	"Default"	1680	1.37	1
"Default"	210	1.37	"Default"	1680	1.37	1
