"","name","model_class","MCDS","MRDS","AIC_MCDS","AIC_MRDS","delta_AIC"
"1","systvar1","HN-CO-SIGMA","HN-CO-1-SIGMA","HN-CO-3-SIGMA",1112.1924,-4898.3457126928,6010.5381126928
"2","rocio_dat_bad_2","HA-CO-SIGMA","HA-CO-1-SIGMA","HA-CO-3-SIGMA",244.4456,97.192129071777,147.253470928223
"3","ltex","HA-PO-SIGMA","HA-PO-1-SIGMA","HA-PO-2-SIGMA",641.022,589.199228582187,51.8227714178128
"4","ltex","HN-PO-SIGMA","HN-PO-1-SIGMA","HN-PO-2-SIGMA",638.7106,588.11776555889,50.5928344411096
"5","covarwhale","HA-PO-SIGMA","HA-PO-1-SIGMA","HA-PO-2-SIGMA",153.82604,111.468599772405,42.3574402275954
"6","Wren3","HA-CO-W","HA-CO-3-W","HA-CO-2-W",6559.268,6523.12083574496,36.1471642550378
"7","ducknest","HN-HE-SIGMA","HN-HE-2-SIGMA","HN-HE-1-SIGMA",978.954,955.624111345388,23.3298886546116
"8","ducknest","HA-PO-W","HA-PO-3-W","HA-PO-1-W",950.7736,932.240010943528,18.533589056472
"9","ducknest","HA-HE-SIGMA","HA-HE-1-SIGMA","HA-HE-2-SIGMA",951.3044,934.0704155359,17.2339844641003
"10","Wren2","HN-HE-W","HN-HE-1-W","HN-HE-3-W",1049.8232,1034.97980067074,14.8433993292645
"11","ltex","HA-HE-SIGMA","HA-HE-2-SIGMA","HA-HE-1-SIGMA",629.8968,615.305094371358,14.5917056286418
"12","Wren2","HN-PO-SIGMA","HN-PO-1-SIGMA","HN-PO-3-SIGMA",1049.3802,1035.46355029043,13.9166497095744
"13","savannah1980","HA-PO-SIGMA","HA-PO-3-SIGMA","HA-PO-2-SIGMA",2218.896,2207.64077703324,11.2552229667631
"14","covarwhale","HN-HE-SIGMA","HN-HE-1-SIGMA","HN-HE-3-SIGMA",117.5056,107.390806244409,10.1147937555911
"15","ltex","HN-HE-W","HN-HE-2-W","HN-HE-1-W",628.9254,638.921933059417,9.99653305941683
"16","rocio_dat_bad_2","HN-HE-SIGMA","HN-HE-2-SIGMA","HN-HE-1-SIGMA",244.061,234.651135839991,9.40986416000891
"17","Wren1","HN-PO-SIGMA","HN-PO-1-SIGMA","HN-PO-2-SIGMA",1168.519,1159.68150894656,8.83749105343873
"18","Wren1","HN-PO-W","HN-PO-1-W","HN-PO-2-W",1168.5186,1159.68190684349,8.83669315651287
"19","rocio_dat_bad_2","HN-PO-SIGMA","HN-PO-2-SIGMA","HN-PO-1-SIGMA",242.365,251.075375673778,8.71037567377812
"20","rocio_hr_1","HA-PO-SIGMA","HA-PO-1-SIGMA","HA-PO-3-SIGMA",402.7264,394.5929068382,8.13349316179972
"21","rocio_hr_2","HA-PO-SIGMA","HA-PO-1-SIGMA","HA-PO-3-SIGMA",402.7264,394.5929068382,8.13349316179972
"22","ducknest","HN-PO-W","HN-PO-3-W","HN-PO-1-W",948.7734,955.872274960181,7.09887496018109
"23","ptex","HN-PO-SIGMA","HN-PO-1-SIGMA","HN-PO-2-SIGMA",921.0496,913.967381360975,7.08221863902554
"24","bug_183_akepa","HA-PO-W","HA-PO-1-W","HA-PO-3-W",736.733,730.335719159083,6.39728084091689
"25","covarwhale","HA-PO-W","HA-PO-1-W","HA-PO-2-W",117.81722,111.468599772371,6.34862022762877
"26","Wren3","HA-HE-W","HA-HE-1-W","HA-HE-2-W",6542.992,6536.86585363373,6.12614636626586
"27","Wren4","HN-HE-SIGMA","HN-HE-1-SIGMA","HN-HE-3-SIGMA",1395.9168,1390.03211039316,5.88468960683917
"28","Wren1","HN-HE-W","HN-HE-3-W","HN-HE-1-W",1167.9626,1162.72503513293,5.23756486707384
"29","amakihi","HN-PO-W","HN-PO-3-W","HN-PO-2-W",10799.5,10804.5606927854,5.06069278540963
"30","amakihi","HN-PO-SIGMA","HN-PO-3-SIGMA","HN-PO-2-SIGMA",10799.5,10804.5606927847,5.06069278472569
"31","ducknest","HA-PO-SIGMA","HA-PO-1-SIGMA","HA-PO-3-SIGMA",951.2666,955.635009486453,4.36840948645283
