"","Region.Label","Area","Sample.Label","Effort","object","distance","observer","detected","sex","exposure","size","Study.Area"
"1","Default",1680,"Default",210,1,2.68,1,1,1,1,2,"GolfteesExercise"
"2","Default",1680,"Default",210,1,2.68,2,0,1,1,2,"GolfteesExercise"
"3","Default",1680,"Default",210,2,3.33,1,1,1,0,2,"GolfteesExercise"
"4","Default",1680,"Default",210,2,3.33,2,0,1,0,2,"GolfteesExercise"
"5","Default",1680,"Default",210,3,0.34,1,1,0,0,1,"GolfteesExercise"
"6","Default",1680,"Default",210,3,0.34,2,0,0,0,1,"GolfteesExercise"
"7","Default",1680,"Default",210,4,2.53,1,1,1,1,2,"GolfteesExercise"
"8","Default",1680,"Default",210,4,2.53,2,0,1,1,2,"GolfteesExercise"
"9","Default",1680,"Default",210,5,1.46,1,1,1,0,2,"GolfteesExercise"
"10","Default",1680,"Default",210,5,1.46,2,0,1,0,2,"GolfteesExercise"
"11","Default",1680,"Default",210,6,3.8,1,1,1,0,7,"GolfteesExercise"
"12","Default",1680,"Default",210,6,3.8,2,0,1,0,7,"GolfteesExercise"
"13","Default",1680,"Default",210,7,3.17,1,1,1,0,2,"GolfteesExercise"
"14","Default",1680,"Default",210,7,3.17,2,0,1,0,2,"GolfteesExercise"
"15","Default",1680,"Default",210,8,0.36,1,1,1,0,1,"GolfteesExercise"
"16","Default",1680,"Default",210,8,0.36,2,0,1,0,1,"GolfteesExercise"
"17","Default",1680,"Default",210,9,2.41,1,1,1,0,4,"GolfteesExercise"
"18","Default",1680,"Default",210,9,2.41,2,0,1,0,4,"GolfteesExercise"
"19","Default",1680,"Default",210,10,3.01,1,1,1,0,5,"GolfteesExercise"
"20","Default",1680,"Default",210,10,3.01,2,0,1,0,5,"GolfteesExercise"
"21","Default",1680,"Default",210,11,3.57,1,1,1,1,1,"GolfteesExercise"
"22","Default",1680,"Default",210,11,3.57,2,0,1,1,1,"GolfteesExercise"
"23","Default",1680,"Default",210,12,3.05,1,1,1,0,4,"GolfteesExercise"
"24","Default",1680,"Default",210,12,3.05,2,0,1,0,4,"GolfteesExercise"
"25","Default",1680,"Default",210,13,0.79,1,1,0,0,2,"GolfteesExercise"
"26","Default",1680,"Default",210,13,0.79,2,0,0,0,2,"GolfteesExercise"
"27","Default",1680,"Default",210,14,3.11,1,1,1,0,1,"GolfteesExercise"
"28","Default",1680,"Default",210,14,3.11,2,0,1,0,1,"GolfteesExercise"
"29","Default",1680,"Default",210,15,1.8,1,1,0,1,3,"GolfteesExercise"
"30","Default",1680,"Default",210,15,1.8,2,0,0,1,3,"GolfteesExercise"
"31","Default",1680,"Default",210,16,1.51,1,1,1,1,2,"GolfteesExercise"
"32","Default",1680,"Default",210,16,1.51,2,0,1,1,2,"GolfteesExercise"
"33","Default",1680,"Default",210,17,2.11,1,1,1,1,1,"GolfteesExercise"
"34","Default",1680,"Default",210,17,2.11,2,0,1,1,1,"GolfteesExercise"
"35","Default",1680,"Default",210,18,2.1,1,1,1,0,1,"GolfteesExercise"
"36","Default",1680,"Default",210,18,2.1,2,0,1,0,1,"GolfteesExercise"
"37","Default",1680,"Default",210,19,0.02,1,1,1,0,1,"GolfteesExercise"
"38","Default",1680,"Default",210,19,0.02,2,0,1,0,1,"GolfteesExercise"
"39","Default",1680,"Default",210,20,0.11,1,1,0,0,4,"GolfteesExercise"
"40","Default",1680,"Default",210,20,0.11,2,0,0,0,4,"GolfteesExercise"
"41","Default",1680,"Default",210,21,1.92,1,0,1,0,6,"GolfteesExercise"
"42","Default",1680,"Default",210,21,1.92,2,1,1,0,6,"GolfteesExercise"
"43","Default",1680,"Default",210,22,1.3,1,0,0,0,4,"GolfteesExercise"
"44","Default",1680,"Default",210,22,1.3,2,1,0,0,4,"GolfteesExercise"
"45","Default",1680,"Default",210,23,0.73,1,0,1,0,1,"GolfteesExercise"
"46","Default",1680,"Default",210,23,0.73,2,1,1,0,1,"GolfteesExercise"
"47","Default",1680,"Default",210,24,2.43,1,0,1,0,1,"GolfteesExercise"
"48","Default",1680,"Default",210,24,2.43,2,1,1,0,1,"GolfteesExercise"
"49","Default",1680,"Default",210,25,0.83,1,0,0,1,5,"GolfteesExercise"
"50","Default",1680,"Default",210,25,0.83,2,1,0,1,5,"GolfteesExercise"
"51","Default",1680,"Default",210,26,3.83,1,0,1,1,2,"GolfteesExercise"
"52","Default",1680,"Default",210,26,3.83,2,1,1,1,2,"GolfteesExercise"
"53","Default",1680,"Default",210,27,3.46,1,0,1,1,4,"GolfteesExercise"
"54","Default",1680,"Default",210,27,3.46,2,1,1,1,4,"GolfteesExercise"
"55","Default",1680,"Default",210,28,3.76,1,0,1,1,4,"GolfteesExercise"
"56","Default",1680,"Default",210,28,3.76,2,1,1,1,4,"GolfteesExercise"
"57","Default",1680,"Default",210,29,2.98,1,0,0,1,2,"GolfteesExercise"
"58","Default",1680,"Default",210,29,2.98,2,1,0,1,2,"GolfteesExercise"
"59","Default",1680,"Default",210,30,3.72,1,0,1,0,3,"GolfteesExercise"
"60","Default",1680,"Default",210,30,3.72,2,1,1,0,3,"GolfteesExercise"
"61","Default",1680,"Default",210,31,1.78,1,0,0,1,1,"GolfteesExercise"
"62","Default",1680,"Default",210,31,1.78,2,1,0,1,1,"GolfteesExercise"
"63","Default",1680,"Default",210,32,1.83,1,0,0,0,5,"GolfteesExercise"
"64","Default",1680,"Default",210,32,1.83,2,1,0,0,5,"GolfteesExercise"
"65","Default",1680,"Default",210,33,2.43,1,0,1,0,3,"GolfteesExercise"
"66","Default",1680,"Default",210,33,2.43,2,1,1,0,3,"GolfteesExercise"
"67","Default",1680,"Default",210,34,3.14,1,0,1,0,1,"GolfteesExercise"
"68","Default",1680,"Default",210,34,3.14,2,1,1,0,1,"GolfteesExercise"
"69","Default",1680,"Default",210,35,2.3,1,0,0,1,1,"GolfteesExercise"
"70","Default",1680,"Default",210,35,2.3,2,1,0,1,1,"GolfteesExercise"
"71","Default",1680,"Default",210,36,3.67,1,0,1,0,4,"GolfteesExercise"
"72","Default",1680,"Default",210,36,3.67,2,1,1,0,4,"GolfteesExercise"
"73","Default",1680,"Default",210,37,2.65,1,0,1,0,2,"GolfteesExercise"
"74","Default",1680,"Default",210,37,2.65,2,1,1,0,2,"GolfteesExercise"
"75","Default",1680,"Default",210,38,3.84,1,0,1,1,1,"GolfteesExercise"
"76","Default",1680,"Default",210,38,3.84,2,1,1,1,1,"GolfteesExercise"
"77","Default",1680,"Default",210,39,1.19,1,0,1,0,5,"GolfteesExercise"
"78","Default",1680,"Default",210,39,1.19,2,1,1,0,5,"GolfteesExercise"
"79","Default",1680,"Default",210,40,1.56,1,0,1,0,3,"GolfteesExercise"
"80","Default",1680,"Default",210,40,1.56,2,1,1,0,3,"GolfteesExercise"
