"name","filename","project_number","transect","truncation","cutpoints","formula","subset"
"amakihi","dst_files/Amakihi-solutions/D70fTAMAUK07","1","POINT","82.5","","as.factor(OBs)+HAS+MAS",""
"covarwhale","dst_files/CovarWhaleSim-solutions/CovarWhaleSim-solutions","2","LINE","3.5","","",""
"cluster","dst_files/D70Cluster-solutions/D70Cluster solutions","1","LINE","1.5","0,0.214285714285714,0.428571428571429,0.642857142857143,0.857142857142857,1.07142857142857,1.28571428571429,1.5","",""
"sika","dst_files/Deer pellets solution/D70new full sika","1","LINE","","","",""
"crabbies","dst_files/CrabbieMCDSExercise/D70CrabbieMCDSExercise","1","LINE","700","","as.factor(side)+as.factor(vis)",""
"dolphin","dst_files/Dolphin/D70Dolphin","","LINE","","","as.factor(Beauf.class)+size",""
"ducknest","dst_files/Ducknest_exercise/D702Ducknest exercise","1","LINE","2.5","","",""
"ltex","dst_files/Exercise3/D702Exercise3","","LINE","","","",""
"ptex","dst_files/PTExercise1/D702Exercise4","","POINT","","","",""
"savannah1980","dst_files/Savannah_sparrow_1980/D70Savannah sparrow 1980","","POINT","","","",""
"savannah1981","dst_files/Savannah_sparrow_1981/D70Savannah sparrow 1981","","POINT","","","",""
"systvar1","dst_files/Systematic_variance_1/D702Systematic_variance_1","1","LINE","","","",""
"systvar2","dst_files/Systematic_variance_2/D702Systematic_variance_2","1","LINE","","","",""
"Wren1","dst_files/Wren1/D70Wren1","","POINT","110","","","species==""w"""
"Wren2","dst_files/Wren2/D70Wren2","","POINT","110","","","species==""w"""
"Wren3","dst_files/Wren3/D70Wren3","","POINT","92.5","","","species==""w"""
"Wren4","dst_files/Wren4/D70Wren4","","LINE","95","","","species==""w"""
"bug_183_akepa","RData_files/akepa.RData","","POINT","58","","as.factor(Obs)",""
"rocio_hr_1","RData_files/dathr1.RData","","POINT","30","","",""
"rocio_hr_2","RData_files/dathr2.RData","","POINT","30","","",""
"rocio_hr_3","RData_files/dathr3.RData","","POINT","30","","",""
"rocio_hr_4","RData_files/dathr4.RData","","POINT","30","","",""
"rocio_dat_bad","RData_files/rocio_dat.RData","","POINT","30","","",""
"rocio_dat_bad_2","RData_files/rocio_dat_2.RData","","POINT","30","","",""
